,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL,PARKCODE
0,2023,"3,833","4,575","8,030","6,448","8,759","7,702","7,067","7,361","6,101","5,468","4,269","3,112","72,725",HOBE
1,2022,"4,278","3,791","6,518","5,934","7,408","7,501","6,628","6,294","5,864","5,565","4,756","3,236","67,773",HOBE
2,2021,"1,555","2,146","3,907","3,382","6,587","6,967","7,505","6,532","6,252","5,958","4,567","2,927","58,285",HOBE
3,2020,"1,373","1,754","3,382",747,910,"4,425","4,713","3,722","2,586","2,042","1,686","1,260","28,600",HOBE
4,2019,96,"1,961","6,644","3,756","6,528","5,381","8,193","3,853","2,387","2,348","2,122","2,103","45,372",HOBE
5,2018,"2,265","3,495","8,948","4,731","5,394","5,248","5,992","3,796","3,424","2,825","2,116",257,"48,491",HOBE
6,2017,"4,548","5,224","9,155","9,218","8,237","6,537","7,715","5,290","5,259","4,657","5,429","2,986","74,255",HOBE
7,2016,"3,476","5,050","9,691","8,309","8,214","8,438","8,105","7,992","5,913","8,533","5,065","4,584","83,370",HOBE
8,2015,"3,942","4,192","10,685","6,995","10,354","8,378","7,992","7,088","6,098","6,517","5,576","11,465","89,282",HOBE
9,2014,"3,029","3,318","12,677","4,364","5,201","5,989","6,190","5,309","4,837","5,748","4,735","2,962","64,359",HOBE
10,2013,"3,764","3,584","5,365","5,346","7,433","6,006","6,543","5,212","5,016","2,957","2,804","1,935","55,965",HOBE
11,2012,"3,410","3,650","7,771","5,872","5,855","5,785","5,613","4,478","4,701","4,609","3,764","3,160","58,668",HOBE
12,2011,"2,675","4,038","5,929","7,486","6,625","7,376","8,952","4,424","5,321","5,945","4,084","3,037","65,892",HOBE
13,2010,"3,686","3,465","8,316","5,816","5,582","7,134","7,012","6,989","5,963","5,903","4,438","3,472","67,776",HOBE
14,2009,"2,606","3,905","7,811","6,333","7,296","8,183","8,148","7,105","5,874","5,810","6,667","2,494","72,232",HOBE
15,2008,"3,384","4,011","8,952","3,949","5,209","4,501","5,255","3,975","3,005","3,437","2,476","2,565","50,719",HOBE
16,2007,"4,021","3,685","9,006","5,894","8,176","7,544","5,523","9,538","6,030","5,252","5,664","3,336","73,669",HOBE
17,2006,"3,746","2,969","6,655","6,916","7,437","6,603","7,529","7,041","7,086","5,326","4,818","3,941","70,067",HOBE
18,2005,"3,519","3,566","7,404","5,040","5,720","5,744","4,420","5,703","4,098","4,894","4,169","4,287","58,564",HOBE
19,2004,"4,902","5,229","7,919","5,992","6,620","7,486","9,671","8,214","8,012","9,577","9,449","4,885","87,956",HOBE
20,2003,"5,766","6,934","13,551","7,911","8,015","7,964","6,490","8,774","5,337","5,056","5,346","4,167","85,311",HOBE
21,2002,"7,551","6,739","12,458","8,686","10,294","9,507","9,325","9,369","7,553","8,741","7,871","5,939","104,033",HOBE
22,2001,"10,048","10,407","14,241","11,430","9,292","10,560","9,248","7,927","7,724","6,145","6,941","4,227","108,190",HOBE
23,2000,"8,334","8,896","14,223","12,925","10,315","12,317","11,213","9,740","9,842","11,337","9,269","6,961","125,372",HOBE
24,1999,"7,312","7,797","11,650","10,506","10,291","9,964","8,539","8,317","9,123","9,956","9,835","8,564","111,854",HOBE
25,1998,"7,901","6,038","13,342","10,254","12,814","12,737","10,558","8,918","9,004","8,853","7,310","6,992","114,721",HOBE
26,1997,"1,805","2,718","7,628","9,750","10,215","10,411","10,243","9,615","9,456","9,901","9,346","5,999","97,087",HOBE
27,1996,"2,080","3,859","12,982","9,289","10,952","10,884","10,772","9,833","10,100","8,024","3,834","3,242","95,851",HOBE
28,1995,"4,349","6,054","13,644","10,517","11,231","9,453","11,864","10,254","9,513","10,256","7,155","2,152","106,442",HOBE
29,1994,"5,904","7,523","12,650","11,240","10,977","9,536","10,928","8,790","8,532","10,776","10,015","5,991","112,862",HOBE
30,1993,"5,300","3,047","6,239","6,395","7,231","9,651","7,138","9,864","10,275","10,606","10,181","5,968","91,895",HOBE
31,1992,756,"6,107","10,353","9,300","10,280","8,373","10,972","7,822","2,904","5,711","4,343","3,074","79,995",HOBE
32,1991,"3,149","4,695","7,881","9,188","8,159","4,584","5,103","4,389","3,455","6,062",949,861,"58,475",HOBE
33,1990,"4,949","6,348","9,463","10,281","10,326","10,711","10,901","9,373","7,733","7,198","8,257","3,066","98,606",HOBE
34,1989,"4,521","4,058","14,939","7,732","10,144","11,093","10,990","9,261","9,539","8,831","7,098","2,657","100,863",HOBE
35,1988,130,"3,865","5,889","6,408","7,368","4,711","5,993","7,500","7,185","7,007","5,602","3,809","65,467",HOBE
36,1987,"2,162","2,674","6,430","7,124","6,085","5,310","3,571","4,902","4,513","2,091","1,770","1,056","47,688",HOBE
37,1986,"1,687","3,034","9,578","6,295","6,452","6,133","7,257","5,337","5,818","3,977","3,476","2,159","61,203",HOBE
38,1985,"2,474","4,078","6,528","7,146","6,749","6,203","7,270","9,097","5,174","3,996","2,786","1,048","62,549",HOBE
39,1984,"3,237","2,792","5,330","8,623","4,722","4,974","4,996","8,283","3,520","4,053","5,812","6,032","62,374",HOBE
40,1983,884,"2,416","4,798","6,854","7,236","6,725","6,944","8,501","5,872","5,848","4,231","2,205","62,514",HOBE
41,1982,"1,414","1,992","4,221","5,878","8,485","7,375","8,049","9,520","4,348","4,261","1,626",370,"57,539",HOBE
42,1981,"2,915","3,718","7,248","9,259","8,349","7,350","19,256","6,656","3,892","4,988","3,357","1,400","78,388",HOBE
43,1980,"2,177","1,907","4,458","3,135","2,852","2,193","4,092","8,613","3,519","4,732","4,052","2,593","44,323",HOBE
44,1979,"1,898","2,272","5,282","5,174","5,455","5,748","5,567","4,785","2,799","4,986","4,166","2,434","50,566",HOBE
45,2023,"32,387","32,981","33,759","57,745","72,931","79,100",132, , , , , ,"309,035",LIRI
46,2022,"38,894","44,197","70,226","67,702","87,644","63,572","78,575","54,912","53,967","80,091","51,172","35,287","726,239",LIRI
47,2021,"38,733","33,736","61,598","66,668","96,373","104,110","119,088","82,905","69,664","68,769","75,822","45,140","862,606",LIRI
48,2020,"26,882","49,367","65,790","57,378","99,996","83,984","101,283","80,196","63,980","69,140","68,922","35,457","802,375",LIRI
49,2019,"25,235","39,220","54,924","57,552","81,555","75,544","80,614","58,004","55,090","41,284","38,498","42,466","649,986",LIRI
50,2018,"9,267","11,833","25,953","29,218","45,339","86,904","76,670","60,046","37,085","33,363","14,509","10,990","441,177",LIRI
51,2017,"9,718","21,837","25,929","29,648","45,362","56,344","37,174","56,946","37,150","20,248","14,982","11,720","367,058",LIRI
52,2016,"18,824","21,970","25,127","29,044","45,812","85,998","72,048","57,122","28,950","38,556","26,695","12,554","462,700",LIRI
53,2015,"11,008","21,150","18,549","23,014","33,171","34,134","21,937","18,878","18,450","20,414","15,076","12,354","248,135",LIRI
54,2014,"7,344","16,399","17,562","21,841","27,278","25,524","23,225","21,550","15,959","14,313","20,558","13,378","224,931",LIRI
55,2013,"8,024","14,530","17,121","14,744","20,509","18,953","21,034","19,859","18,761","10,857","12,789","8,296","185,477",LIRI
56,2012,"11,308","12,019","18,424","14,383","23,917","21,095","26,501","22,434","16,628","16,162","10,076","8,162","201,109",LIRI
57,2011,"8,556","5,457","19,437","18,446","37,774","20,914","38,095","19,278","15,897","19,533","12,127","10,035","225,549",LIRI
58,2010,"8,363","4,570","13,284","16,316","21,356","30,113","25,786","20,645","13,282","17,249","13,553","8,059","192,576",LIRI
59,2009,"8,051","4,359","20,190","17,147","19,577","25,454","21,860","18,904","12,913","20,236","12,629","7,931","189,251",LIRI
60,2008,"8,940","12,705","16,848","16,548","21,602","21,693","27,047","19,064","14,282","21,989","10,271","6,704","197,693",LIRI
61,2007,"7,526","5,647","17,707","19,471","29,271","54,483","26,447","30,909","22,334","28,472","13,211","8,711","264,189",LIRI
62,2006,"13,754","4,604","16,897","16,551","22,034","30,512","24,740","26,888","7,596","25,105","14,786","7,580","211,047",LIRI
63,2005,"5,135","4,840","7,767","11,969","12,186","30,680","38,798","23,694","16,668","23,934","14,955","10,816","201,442",LIRI
64,2004,"4,070","7,540","13,245","21,005","26,399","23,192","25,423","19,881","9,293","9,461","9,446","5,484","174,439",LIRI
65,2003,"15,790","3,825","8,822","12,069","14,725","24,201","30,344","23,393","8,786","17,189","14,706","10,046","183,896",LIRI
66,2023,"502,751","444,164","544,811","534,799","527,250","557,562","552,945","572,047","645,017", , , ,"4,881,346",NATR
67,2022,"574,486","534,645","586,183","599,239","555,142","584,864","510,932","539,168","579,633","534,620","476,475","468,146","6,543,533",NATR
68,2021,"476,709","424,676","543,333","536,813","526,140","636,990","567,903","535,350","570,815","539,975","524,752","517,890","6,401,346",NATR
69,2020,"484,943","442,739","515,828","453,763","518,817","547,092","560,788","528,326","542,426","568,238","501,727","460,121","6,124,808",NATR
70,2019,"485,642","472,579","550,701","560,343","540,971","562,198","578,598","536,957","562,171","518,106","469,752","458,023","6,296,041",NATR
71,2018,"520,652","493,303","548,460","562,551","532,313","567,551","593,998","555,756","552,542","528,068","448,299","458,946","6,362,439",NATR
72,2017,"451,904","488,458","554,127","564,210","551,306","559,359","584,721","533,212","577,087","529,567","473,850","458,261","6,326,062",NATR
73,2016,"464,284","435,680","491,630","514,979","493,427","525,501","564,420","507,958","490,342","533,071","455,525","414,498","5,891,315",NATR
74,2015,"470,262","414,844","484,650","509,178","486,175","516,654","542,031","492,061","476,818","518,523","459,006","415,610","5,785,812",NATR
75,2014,"466,886","422,542","493,266","513,830","490,267","519,539","550,245","496,760","488,825","523,467","461,799","419,048","5,846,474",NATR
76,2013,"443,307","422,579","349,273","512,248","535,303","563,565","587,695","533,555","534,955","546,421","505,759","478,080","6,012,740",NATR
77,2012,"430,187","435,840","423,893","493,391","473,498","501,930","534,860","476,022","465,681","506,418","426,020","392,928","5,560,668",NATR
78,2011,"479,027","458,335","492,723","515,662","500,391","502,554","568,114","482,520","470,050","489,568","403,625","402,774","5,765,343",NATR
79,2010,"385,212","423,678","508,498","528,248","515,964","519,962","555,496","510,763","517,471","501,305","479,274","465,079","5,910,950",NATR
80,2009,"481,273","450,714","477,008","508,905","490,961","526,978","544,750","490,269","498,369","524,966","480,463","459,707","5,934,363",NATR
81,2008,"475,204","461,182","475,037","488,363","475,922","491,981","514,888","478,245","450,304","517,341","468,697","450,071","5,747,235",NATR
82,2007,"486,268","447,771","498,575","505,335","403,119","491,857","524,859","474,109","503,868","512,747","479,940","449,218","5,777,666",NATR
83,2006,"474,839","434,219","477,716","503,946","487,032","370,302","525,983","480,152","494,913","529,587","477,071","457,823","5,713,583",NATR
84,2005,"428,051","407,490","541,775","468,209","467,215","479,246","500,442","466,270","458,832","377,935","445,641","441,176","5,482,282",NATR
85,2004,"424,687","430,769","445,834","451,028","444,013","470,270","508,307","458,609","451,955","487,854","420,190","395,711","5,389,227",NATR
86,2003,"442,989","401,744","476,081","499,371","467,168","528,333","526,504","446,900","436,135","478,340","448,321","404,098","5,555,984",NATR
87,2002,"430,710","442,774","460,834","505,587","474,993","507,257","530,731","476,031","463,066","495,406","451,433","404,348","5,643,170",NATR
88,2001,"438,429","435,503","475,742","268,799","485,915","504,759","577,879","485,572","464,567","516,144","462,205","436,837","5,552,351",NATR
89,2000,"443,970","452,684","488,216","499,540","487,455","493,967","518,593","487,101","485,690","508,293","453,649","418,025","5,737,183",NATR
90,1999,"446,534","433,819","470,419","606,231","580,675","630,186","617,346","519,634","516,760","617,577","521,828","431,952","6,392,961",NATR
91,1998,"458,349","431,183","467,460","522,766","495,085","527,694","557,394","475,968","479,875","525,454","468,012","400,854","5,810,094",NATR
92,1997,"469,462","419,169","601,276","499,019","561,745","499,900","568,455","501,200","491,159","519,406","449,924","412,263","5,992,978",NATR
93,1996,"460,701","457,449","499,342","543,331","505,040","542,799","524,131","511,931","541,407","547,975","503,949","450,555","6,088,610",NATR
94,1995,"451,087","398,380","492,095","518,024","491,012","518,333","503,147","485,873","520,584","534,817","484,115","451,594","5,849,061",NATR
95,1994,"396,739","383,668","479,301","458,513","355,593","503,816","495,323","480,401","505,501","514,880","477,912","236,154","5,287,801",NATR
96,1993,"444,808","387,356","473,827","510,368","489,912","515,996","507,607","487,249","510,076","516,500","476,305","432,876","5,752,880",NATR
97,1992,"448,601","397,069","483,700","511,396","488,228","538,566","501,100","470,766","499,816","549,802","467,956","419,191","5,776,191",NATR
98,1991,"440,355","372,102","461,634","502,237","468,253","597,568","528,961","492,463","505,066","537,477","488,252","438,329","5,832,697",NATR
99,1990,"437,233","380,787","488,352","492,115","452,844","486,197","478,780","463,560","479,423","490,858","458,280","396,824","5,505,253",NATR
100,1989,"834,673","784,936","950,723","945,971","918,855","936,806","959,449","946,837","878,585","858,960","906,519","915,565","10,837,879",NATR
101,1988,"743,689","820,369","940,639","1,198,316","1,017,535","1,036,179","1,108,681","1,156,397","939,409","906,099","892,808","925,461","11,685,582",NATR
102,1987,"777,661","771,375","760,757","795,208","801,709","840,228","920,863","869,466","817,792","914,135","891,444","780,976","9,941,614",NATR
103,1986,"1,020,379","986,027","1,044,545","1,189,112","1,222,217","1,399,054","1,261,199","1,188,355","1,254,803","1,246,063","1,283,635","1,268,619","14,364,008",NATR
104,1985,"956,451","860,557","1,041,113","1,114,799","1,154,782","1,184,273","1,133,518","1,166,127","1,101,823","1,097,562","1,058,401","1,062,567","12,931,973",NATR
105,1984,"949,662","1,014,174","1,180,553","1,120,235","1,265,507","1,203,280","1,185,418","1,142,721","1,156,299","1,069,974","1,040,757","1,149,681","13,478,261",NATR
106,1983,"1,054,393","978,015","1,056,718","1,058,973","1,064,863","1,026,273","1,058,457","1,074,981","1,079,919","1,090,891","1,114,550","1,138,089","12,796,122",NATR
107,1982,"784,831","828,322","951,804","992,651","960,251","917,136","931,535","907,159","899,429","1,000,153","989,650","888,219","11,051,140",NATR
108,1981,"901,835","784,097","891,885","964,525","965,681","969,370","1,012,790","992,409","990,215","965,899","915,434","806,468","11,160,608",NATR
109,1980,"785,810","738,836","838,242","875,478","919,311","910,509","882,307","890,832","882,331","978,983","924,846","974,081","10,601,566",NATR
110,1979,"738,908","670,479","844,935","721,983","807,937","786,826","752,698","826,607","753,623","810,389","925,643","835,277","9,475,305",NATR
111,2023,414,536,451,939,634,886,"1,197",772,387,964,"1,011",487,"8,678",RUCA
112,2022,815,"1,017","1,693","1,686","1,764","1,753","2,105","1,318","1,703","1,817",915,402,"16,988",RUCA
113,2021,"1,615","1,172","2,167","3,130","2,607","2,341","2,404","1,544","1,466","1,445","1,578",924,"22,393",RUCA
114,2020,"1,011",701,"1,553",62,0,39,"1,705",656,524,670,608,933,"8,462",RUCA
115,2019,194,"1,088","1,739","1,530","2,234","1,777","1,705","1,085","1,240","2,021","1,315",714,"16,642",RUCA
116,2018,812,"1,401","2,176","2,520","1,660","3,022","2,125","1,416","2,211","2,342","1,372",563,"21,620",RUCA
117,2017,481,170,"2,224","2,977","2,381","3,195","2,590","2,125","2,325","2,540","1,921","1,448","24,377",RUCA
118,2016,660,936,933,"4,050","2,184","1,827",961,"4,545","2,011","3,063","2,360","1,119","24,649",RUCA
119,2015,622,530,"1,426","1,573","2,250","1,899","2,119","2,585","1,990","2,387","1,334",715,"19,430",RUCA
120,2014,842,657,"1,558","2,125","2,044","1,463","2,055","1,839","1,690","2,064","1,381",812,"18,530",RUCA
121,2013,677,"1,514","1,933","1,888","2,582","2,489","2,070","1,981","2,024",994,"1,535",769,"20,456",RUCA
122,2012,919,"1,040","1,924","2,147","2,541","1,933","2,319","1,719","1,861","2,545","1,321",685,"20,954",RUCA
123,2011,391,"1,476","2,195","2,258","1,750","2,798","2,306","1,659","1,948","2,003","1,223",710,"20,717",RUCA
124,2010,274,"2,368","1,398","2,191","3,394","2,751","3,194",849,"2,523","2,308","1,588",536,"23,374",RUCA
125,2009,"1,012","1,099","1,818","1,883","2,381","2,905","2,883","2,480","1,938","2,092","1,423","2,173","24,087",RUCA
126,2008,"2,362","2,378","4,022","4,480","8,972","2,373","2,794","2,267","1,899","2,530","1,410",888,"36,375",RUCA
127,2007,546,584,"1,949","1,541","12,574","5,573","5,634","4,032","4,806","5,698","4,086","2,141","49,164",RUCA
128,2006,2,899,436,646,"2,191","4,054","3,255","2,833","2,249","2,684","1,397","4,205","24,851",RUCA
129,2005,719,983,"1,600","3,916","2,847","2,660","2,428","2,264","1,885","2,046","1,375",773,"23,496",RUCA
130,2004,684,979,"1,748","2,431","4,887","1,437","2,480","3,253","2,978","1,411",-39,101,"22,350",RUCA
131,2003,835,868,662,992,"3,344","2,563","2,919","2,300","3,072","2,742","1,731",864,"22,892",RUCA
132,2002,935,388,"1,127","1,748","4,245","3,961","3,678","3,244","2,531","2,832","2,141","1,082","27,912",RUCA
133,2001,956,"1,104","1,831","2,604","2,827","2,259","2,304","1,888","2,078",412,"1,721",465,"20,449",RUCA
134,2000,975,"1,031","1,740","2,572","3,579","2,443","2,522","2,153","2,421","2,025","1,218",786,"23,465",RUCA
135,1999,949,942,"1,815","2,570","4,324","4,048","2,453","2,089","2,706","2,813","1,683",897,"27,289",RUCA
136,1998,"1,031","1,443","1,674","2,429","4,606","1,649","2,680","2,632","2,552","3,088","1,684",885,"26,353",RUCA
137,1997,"1,087","1,502","1,399","2,679","3,032","3,165","2,836","2,845","2,772","3,751","1,566",746,"27,380",RUCA
138,1996,78,931,"1,996","3,120","2,595","2,658","3,857","2,933","2,262","3,353","2,276",822,"26,881",RUCA
139,1995,965,"1,285","4,029","8,376","3,144","3,003","4,155","3,399","2,656","3,029","1,381",317,"35,739",RUCA
140,1994,781,"1,107","2,095","3,940","3,411","3,268","3,705","3,328","3,015","4,197","2,926","1,150","32,923",RUCA
141,1993,"1,356","1,321","1,738","5,216","2,367","2,265","3,884","3,844","2,695","2,934","1,229","1,171","30,020",RUCA
142,1992,956,"1,253","1,912","3,749","2,769","2,495","2,839","2,510","2,268","3,258","2,227","1,073","27,309",RUCA
143,1991,516,837,"1,539","3,144","1,956","1,942","2,436","3,069","2,107","1,477","1,131",629,"20,783",RUCA
144,1990,741,"1,081","1,686","3,218","2,638","2,301","3,229","2,647","2,036","1,466","1,928",582,"23,553",RUCA
145,1989,737,498,"1,663","3,105","2,940","2,186","2,623","3,057","2,279","2,491","1,522",592,"23,693",RUCA
146,1988,566,946,"1,534","2,580","3,207","2,419","4,413","2,794","1,776","3,159","1,088",679,"25,161",RUCA
147,1987,727,849,"1,590","2,537","2,880","2,807","3,227","3,079","2,320","2,848","1,453",642,"24,959",RUCA
148,1986,750,702,"1,894","2,179","3,059","2,387","3,375","2,420","1,929","1,848","2,072",773,"23,388",RUCA
149,1985,428,581,"1,635","1,800","2,710","2,348","2,942","2,473","2,228","2,398","1,237",781,"21,561",RUCA
150,1984,615,924,"1,542","1,611","2,666","2,604","2,928","3,024","2,463","2,010","1,178","1,110","22,675",RUCA
151,1983,580,"1,118","1,631","1,285","2,132","2,275","3,228","2,625","2,525","2,952","1,155",630,"22,136",RUCA
152,1982,393,702,"1,335","1,590","3,043","2,015","2,629","2,827","1,877","2,961","1,581",827,"21,780",RUCA
153,1981,642,804,"1,427","1,820","1,852","3,121","2,741","2,709","2,134","1,709","1,479",852,"21,290",RUCA
154,1980,611,639,"1,075","1,522","2,386","2,265","4,446","3,063","2,748","1,941","1,251",981,"22,928",RUCA
155,1979,439,403,"1,076","1,878","1,592","1,827","2,535","2,334","2,093","2,141","1,272",936,"18,526",RUCA
156,2023,"1,086","2,314","2,842","2,456","2,499","2,341","2,079","1,088","1,178","1,368","1,758","1,073","22,082",TUAI
157,2022,495,888,"1,531","1,559","1,366","1,547","1,974","1,176","1,587","1,296","1,559","1,159","16,137",TUAI
158,2021,135,239,488,283,500,"1,096","1,792",889,562,739,874,460,"8,057",TUAI
159,2020,"1,575","3,358","1,327",0,0,0,0,25,40,227,181,110,"6,843",TUAI
160,2019,126,"2,391","3,801","3,351","3,181","3,195","3,610","1,814","2,073","2,171","3,217","1,167","30,097",TUAI
161,2018,"1,534","2,690","3,378","3,272","2,360","3,403","3,096","1,923","1,140","2,157","1,175",701,"26,829",TUAI
162,2017,"1,391","4,479","4,775","4,352","2,868","4,351","5,811","3,096","2,816","2,029","2,129","1,225","39,322",TUAI
163,2016,808,"2,297","2,400","2,488","2,385","3,200","5,221","2,444","2,630","3,007","2,583","1,670","31,133",TUAI
164,2015,"1,594","1,675","2,143","2,467","2,070","3,575","3,031","1,367","1,286","1,378","1,317",759,"22,662",TUAI
165,2014,786,"2,039","3,742","1,815","1,974","3,056","3,801","1,728",877,"2,186","1,820",495,"24,319",TUAI
166,2013,915,"2,062","3,480","1,765","1,692","2,724","2,014","1,310","1,057",605,943,734,"19,301",TUAI
167,2012,"1,864","3,347","3,235","2,108","1,870","3,322","2,443","1,243","1,261","1,217",970,836,"23,716",TUAI
168,2011,578,"2,298","1,814","1,720","1,698","1,520","1,992","1,035",778,"1,100",980,731,"16,244",TUAI
169,2010,"2,367","8,819","5,168","5,719","10,013","6,136","10,904","4,952","3,730","1,191","1,390",438,"60,827",TUAI
170,2009,"3,033","6,478","4,464","5,391","6,460","6,727","7,717","3,601","4,134","2,561","5,307","2,544","58,417",TUAI
171,2008,"1,905","2,274","2,310","4,031","2,263","2,389","3,459","2,412","1,221","7,950","16,062","4,055","50,331",TUAI
172,2007,434,"1,261","1,448",984,"1,069","1,772","2,051","1,922",770,"1,296",866,812,"14,685",TUAI
173,2006,835,"1,032","1,431",966,968,"1,014","1,617",669,430,"1,290",551,542,"11,345",TUAI
174,2005,536,"1,335",991,"1,184","1,061",718,"1,661",683,422,696,678,358,"10,323",TUAI
175,2004,417,"1,046",949,"1,175","1,259","1,214","2,135",729,998,673,599,301,"11,495",TUAI
176,2003,490,"1,188","1,180","1,804","1,018",951,"1,563",978,496,496,611,310,"11,085",TUAI
177,2023,507,"1,001","1,132",989,"1,100",600,500,450,550,600,600, ,"8,029",TUIN
178,2022,402,755,905,969,990,"1,100","1,500",760,506,690,850,342,"9,769",TUIN
179,2021,115,189,438,263,450,696,815,789,462,689,474,249,"5,629",TUIN
180,2020,889,"2,370",776,60,50,30,30,25,44,212,161,90,"4,737",TUIN
181,2019,423,"3,380","6,654","7,149","1,774","3,009","3,918","1,256","1,546","3,849","2,576",861,"36,395",TUIN
182,2018,962,"3,859","5,691","5,853","1,542","4,532","3,408","2,275","2,275","3,615","2,522",952,"37,486",TUIN
183,2017,"2,365","2,045","2,232","1,677","1,754","2,057","2,509","1,068",746,"1,720","1,633",601,"20,407",TUIN
184,2016,415,"1,343","1,103","1,088",569,472,444,218,354,805,"1,314",327,"8,452",TUIN
185,2015,962,741,820,613,799,866,"1,034",184,163,940,672,167,"7,961",TUIN
186,2014,"1,629","2,872",562,583,698,463,777,"3,102",182,418,227,273,"11,786",TUIN
187,2013,667,"2,008","2,566","1,266","1,443","1,177","1,168",900,"1,306",325,"32,915","2,025","47,766",TUIN
188,2012,"1,124","2,444","4,734","2,370","2,178","3,605","2,656","1,717","1,201","1,799",103,99,"24,030",TUIN
189,2011,"1,092","3,185","2,356","2,121","2,383","2,106","2,945","1,861","1,068","1,687","1,880",604,"23,288",TUIN
190,2010,978,"2,305","2,914","3,247","2,290","2,212","3,089","2,089",779,"1,588","1,045",694,"23,230",TUIN
191,2009,"3,624","2,590","2,025","3,083","3,754","3,594","3,803","2,219","1,838","1,949","2,476",405,"31,360",TUIN
192,2008,"11,426","8,567","9,330","2,388","3,422","3,278","4,245","2,486","1,741","2,509","2,169",466,"52,027",TUIN
193,2007,"4,788","6,800","5,741","7,820","12,551","13,182","8,587","1,620","3,590","4,646","5,534",591,"75,450",TUIN
194,2006,"3,871","5,134","6,075","7,160","11,608","10,750","8,159","4,609","4,037","4,470","5,081","1,824","72,778",TUIN
195,2005,"3,600","7,815","9,535","7,732","6,466","8,081","9,738","4,804","3,887","4,736","2,690",948,"70,032",TUIN
196,2004,"3,691","5,801","10,069","7,592","6,253","3,019","3,107","3,578","1,268","5,169","2,190","1,015","52,752",TUIN
197,2003,"3,051","8,737","6,239","11,238","4,753","6,199","5,777","4,496","2,415","3,774","1,776",958,"59,413",TUIN
198,2002,"1,172","5,024","11,795","4,107","2,886","4,494","5,729","2,902","2,048","3,597","3,342","2,018","49,114",TUIN
199,2001,"1,674","5,107","5,675","6,363","2,396","5,823","3,230","1,953",811,"2,007","1,896",908,"37,843",TUIN
200,2000,"2,084","8,353","8,174","11,524","5,314","4,726","5,666","3,337","2,098","3,340","2,715",623,"57,954",TUIN
201,1999,"2,345","6,686","9,413","9,264","5,163","3,425","4,651","3,646","2,221","3,012","3,778","1,048","54,652",TUIN
202,1998,"1,769","5,709","7,603","5,703","9,059","3,501","3,339","3,389","2,249","1,794","2,766","1,496","48,377",TUIN
203,1997,"1,566","2,838","4,909","7,324","7,190","3,509","5,487","3,546","2,230","2,402","1,907","1,416","44,324",TUIN
204,1996,"48,082","78,177","82,278","100,076","31,040","22,216","19,560","16,516","16,147","17,232","10,988","48,549","490,861",TUIN
205,1995,"55,810","78,975","48,880","62,033","94,834","78,205","104,684","32,960","78,287","116,696","10,613","7,563","769,540",TUIN
206,1994,"64,591","91,178","46,200","60,772","66,009","27,408","26,769","24,355","60,501","68,213","87,179","7,879","631,054",TUIN
207,1993,"49,076","49,383","31,465","35,023","32,655","21,735","21,484","16,951","22,776","19,374","19,558","6,600","326,080",TUIN
208,1992,"49,555","49,510","31,275","30,991","33,182","22,891","20,468","15,269","15,385","15,316","11,454","13,776","309,072",TUIN
209,1991,"26,168","36,262","35,020","32,035","26,375","24,092","25,152","51,761","56,690","40,709","31,284","16,937","402,485",TUIN
210,1990,"27,981","39,262","47,824","31,242","36,247","21,898","28,536","42,734","44,498","30,459","35,393","13,610","399,684",TUIN
211,1989,"7,408","25,877","16,986","32,553","17,719","28,110","35,608","30,161","28,626","33,155","22,499","10,348","289,050",TUIN
212,1988,"10,598","17,885","26,644","31,889","27,236","28,357","38,704","28,812","25,815","18,122","18,329","8,366","280,757",TUIN
213,1987,"9,551","16,758","10,274","11,727","21,917","11,613","15,759","22,165","22,251","34,925","15,352","7,527","199,819",TUIN
214,1986,"2,823","5,224","6,196","8,291","12,055","6,544","6,660","10,507","7,680","5,465","20,373","8,058","99,876",TUIN
215,1985,"2,111","6,417","10,439","5,322","14,118","4,547","5,196","6,057","5,151","5,074","25,263","6,960","96,655",TUIN
216,1984,"2,571","6,430","4,781","6,970","19,148","3,658","4,705","8,902","4,661","4,513","26,811","2,173","95,323",TUIN
217,1983,"1,750","5,000","3,565","4,725","6,495","11,489","11,525","9,046","11,923","4,396","4,139","2,007","76,060",TUIN
218,1982,"5,100","5,293","5,393","15,407","10,586","3,717","5,912","9,472","4,655","8,250","4,660","4,545","82,990",TUIN
219,1981,300,602,"2,160","5,487","3,516","3,122","9,986","2,947","1,096","1,099",992,759,"32,066",TUIN
220,1980,684,510,216,64,125,"1,066","1,032","1,054","1,003","3,075",921,352,"10,102",TUIN
221,1979,647,"2,180","1,373","2,260","2,182","1,770","2,214","2,835",799,850,"1,073",730,"18,913",TUIN
222,2023,0,0,0,0,0,6,0,137,62,12,0,0,217,ALAG
223,2022,0,0,0,0,0,12,122,40,10,0,0,0,184,ALAG
224,2021,0,0,0,0,0,43,113,71,35,0,0,0,262,ALAG
225,2023,0,0,0,0,0,0,0,0,7,13,0,0,20,ANIA
226,2022,0,0,0,0,54,11,72,24,16,2,0,0,179,ANIA
227,2021,0,0,0,0,20,16,60,23,13,13,0,0,145,ANIA
228,2020,0,0,0,0,0,12,6,4,14,0,0,0,36,ANIA
229,2019,0,0,0,0,0,20,35,35,10,0,0,0,100,ANIA
230,2018,0,0,0,0,0,20,35,35,10,0,0,0,100,ANIA
